[weather, news]	查看汕头天气 讯飞语音我想知道山东省东营市今天的新闻。
[cookbook]	肉沫茄子，怎么做？ 做红酒怎么做啊？
[website, chat]	心绝网上人间 出来约炮吗
[translation, health]	翻译慷慨激昂 介绍一下尖锐湿疣
[contacts, chat]	把李志强的号码发给贾洪鉴 你认识微软小冰么
[chat, video]	你喜欢喝什么茶呀 搜索最近的，科幻电影。
[epg, video]	明天晚上湖南卫视演什么电视剧 猫眼三姐妹
[chat]	买几瓶 你听说过这句名言吗
[health, flight]	尿道炎怎么办 八月十一日从厦门飞往上海的航班
[poetry, health]	说一首唐诗吧！ 发烧。
[poetry, translation]	不是花中偏爱菊的下一句是什么？ 你怎么了英文怎么讲
[chat]	你喜欢玩什么游戏啊 绿色的啥
[cookbook, riddle]	土豆粉怎么做？ 脑筋急转弯呗！
[video, chat]	搜王菲演唱会 聊些什么呢
[translation, epg]	腿英文怎么说 给我看看什么时候有播盛夏晚晴天
[video, tvchannel]	看看郑晓龙导演的甄嬛传 我想看c c t v 一频道
[cookbook, chat]	凉面。 那你现在可以干啥
[bus, telephone]	上海回合肥怎么坐汽车 打电话到飞云
[match, riddle]	NBA比赛时间。 给我搜索脑筋急转弯。
[message, cookbook]	给青发短信 川崎玫瑰的制作方法
[riddle, contacts]	再来一个脑筋急转弯 新建联系人振华奎号码是幺三五零八九四九三幺二
[video, poetry]	海棉宝宝 来一首唐诗吗？
[translation, radio]	我正在睡觉用英语怎么说 肥东人民广播电台调频FM101.3
[cookbook, music]	酸菜是怎么做的可以用塑料布。 我想听11年，这首歌哦。
[message, translation]	发信息给董昊老婆 翻译一下明天我跳河自杀
[stock, chat]	查询洛阳钼业的股票 不这样称呼你怎么样呢
[news, chat]	播放最近的新闻。 秋娃娃写信给谁
[website, bus]	打开苹果香港官方网站 宁波到杭州的汽车
[cinemas, cookbook]	查一查上影电影院即将上映的影片 豆腐花的做法。
[train, telephone]	帮我在百度里搜一下东莞到北京的火车 打给曾玮文
[chat]	出门去年是个这么快呀 为什么要请你
[stock, flight]	居然股份股票怎么样 明天去桂林的航班。
[chat, calc]	你考试挂科怎么办 帮我算一算45的平方根
[poetry, riddle]	我要听宋词。 啊脑筋急转弯啊
[cookbook, tvchannel]	给我讲个笑话吧，鱼香肉丝怎么做？ 海南旅游卫视
[poetry, weather]	雄关漫道真如铁下一句是什么？ 查看汕头天气
[chat]	可是我不喜欢你了两个亿你你一点也不忙啥子 你有喜欢的人吗
[chat, translation]	你知道北京他们吗 早点死英文怎么翻译
[tvchannel, match]	央3 2013年中国男足，主要赛程。
[chat, match]	谁骂你 NBA比赛时间。
[music, website]	我要听情动这首歌。 心绝网上人间
[stock, chat]	我想知道科大讯飞的市值 你告诉我为什么
[riddle, cookbook]	讲个谜语猜一下。 烤牛排怎么做？
[cookbook, health]	怎么做冰激凌？ 大肠癌
[contacts, chat]	把张新涛电话发给常胜宾 何超盈是谁
[weather, video]	天气南京 电影中国合伙人
[train, novel]	厦门到赣州的火车票 赶紧推荐一部小说。
[epg]	非诚勿扰什么时候演啊 咱们结婚吧什么时候播出
[cookbook, flight]	红烧猪蹄怎么做 明天回广州的航班
[novel, lottery]	我要看免费的小说。 七星彩
[schedule, website]	明天上午8:10叫我起床。 打开杜鑫文的网站
[flight, weather]	八月一号去上海的航班 北流的天气
[chat, flight]	那你想当男生还是想当女生 帮我查一下广州到长沙的航班
[video, translation]	李瑞英主持的最新的新闻节目 大家今天心情如何用英语怎么说
[cookbook, match]	猪肚鸡怎么做啊？ 中超赛事预告吗？
[chat, flight]	喂喂能听我说话吗 青岛到广州航班
[match, chat]	中超比赛结果，今天呢？ 你什么时候去北京
[cookbook, flight]	如何做西红柿炒蛋。 大连飞往上海的航班
[chat, epg]	多推荐几个吧 搜一下CCTV74月15号播出新编辑部的故事呢
[cookbook, chat]	新疆大盘鸡的做法。 然后你转了么
